Country or area,ISO Code,Major area,Region,"Developed 
region","Least developed
country","Sub-Saharan 
Africa",FP2020
Afghanistan,4,Asia,Southern Asia,No,Yes,No,Yes
Albania,8,Europe,Southern Europe,Yes,No,No,No
Algeria,12,Africa,Northern Africa,No,No,No,No
American Samoa,16,Oceania,Polynesia,No,No,No,No
Andorra,20,Europe,Southern Europe,Yes,No,No,No
Angola,24,Africa,Middle Africa,No,Yes,Yes,No
Anguilla,660,Latin America and the Caribbean,Caribbean,No,No,No,No
Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean,No,No,No,No
Argentina,32,Latin America and the Caribbean,South America,No,No,No,No
Armenia,51,Asia,Western Asia,No,No,No,No
Aruba,533,Latin America and the Caribbean,Caribbean,No,No,No,No
Australia,36,Oceania,Australia and New Zealand,Yes,No,No,No
Austria,40,Europe,Western Europe,Yes,No,No,No
Azerbaijan,31,Asia,Western Asia,No,No,No,No
Bahamas,44,Latin America and the Caribbean,Caribbean,No,No,No,No
Bahrain,48,Asia,Western Asia,No,No,No,No
Bangladesh,50,Asia,Southern Asia,No,Yes,No,Yes
Barbados,52,Latin America and the Caribbean,Caribbean,No,No,No,No
Belarus,112,Europe,Eastern Europe,Yes,No,No,No
Belgium,56,Europe,Western Europe,Yes,No,No,No
Belize,84,Latin America and the Caribbean,Central America,No,No,No,No
Benin,204,Africa,Western Africa,No,Yes,Yes,Yes
Bermuda,60,Northern America,Northern America,Yes,No,No,No
Bhutan,64,Asia,Southern Asia,No,Yes,No,Yes
Bolivia (Plurinational State of),68,Latin America and the Caribbean,South America,No,No,No,Yes
Bosnia and Herzegovina,70,Europe,Southern Europe,Yes,No,No,No
Botswana,72,Africa,Southern Africa,No,No,Yes,No
Brazil,76,Latin America and the Caribbean,South America,No,No,No,No
British Virgin Islands,92,Latin America and the Caribbean,Caribbean,No,No,No,No
Brunei Darussalam,96,Asia,South-Eastern Asia,No,No,No,No
Bulgaria,100,Europe,Eastern Europe,Yes,No,No,No
Burkina Faso,854,Africa,Western Africa,No,Yes,Yes,Yes
Burundi,108,Africa,Eastern Africa,No,Yes,Yes,Yes
Cambodia,116,Asia,South-Eastern Asia,No,Yes,No,Yes
Cameroon,120,Africa,Middle Africa,No,No,Yes,Yes
Canada,124,Northern America,Northern America,Yes,No,No,No
Cabo Verde,132,Africa,Western Africa,No,No,Yes,No
Cayman Islands,136,Latin America and the Caribbean,Caribbean,No,No,No,No
Central African Republic,140,Africa,Middle Africa,No,Yes,Yes,Yes
Chad,148,Africa,Middle Africa,No,Yes,Yes,Yes
Channel Islands,830,Europe,Northern Europe,Yes,No,No,No
Chile,152,Latin America and the Caribbean,South America,No,No,No,No
China,156,Asia,Eastern Asia,No,No,No,No
"China, Hong Kong Special Administrative Region",344,Asia,Eastern Asia,No,No,No,No
Colombia,170,Latin America and the Caribbean,South America,No,No,No,No
Comoros,174,Africa,Eastern Africa,No,Yes,Yes,Yes
Congo,178,Africa,Middle Africa,No,No,Yes,Yes
Cook Islands,184,Oceania,Polynesia,No,No,No,No
Costa Rica,188,Latin America and the Caribbean,Central America,No,No,No,No
Cote d'Ivoire,384,Africa,Western Africa,No,No,Yes,Yes
Croatia,191,Europe,Southern Europe,Yes,No,No,No
Cuba,192,Latin America and the Caribbean,Caribbean,No,No,No,No
Cyprus,196,Asia,Western Asia,No,No,No,No
Czech Republic,203,Europe,Eastern Europe,Yes,No,No,No
Democratic People's Republic of Korea,408,Asia,Eastern Asia,No,No,No,Yes
Congo Democratic Republic,180,Africa,Middle Africa,No,Yes,Yes,Yes
Denmark,208,Europe,Northern Europe,Yes,No,No,No
Djibouti,262,Africa,Eastern Africa,No,Yes,Yes,Yes
Dominica,212,Latin America and the Caribbean,Caribbean,No,No,No,No
Dominican Republic,214,Latin America and the Caribbean,Caribbean,No,No,No,No
Ecuador,218,Latin America and the Caribbean,South America,No,No,No,No
Egypt,818,Africa,Northern Africa,No,No,No,Yes
El Salvador,222,Latin America and the Caribbean,Central America,No,No,No,No
Equatorial Guinea,226,Africa,Middle Africa,No,Yes,Yes,No
Eritrea,232,Africa,Eastern Africa,No,Yes,Yes,Yes
Estonia,233,Europe,Northern Europe,Yes,No,No,No
Ethiopia,231,Africa,Eastern Africa,No,Yes,Yes,Yes
Faeroe Islands,234,Europe,Northern Europe,Yes,No,No,No
Falkland Islands (Malvinas),238,Latin America and the Caribbean,South America,No,No,No,No
Fiji,242,Oceania,Melanesia,No,No,No,No
Finland,246,Europe,Northern Europe,Yes,No,No,No
France,250,Europe,Western Europe,Yes,No,No,No
French Guiana,254,Latin America and the Caribbean,South America,No,No,No,No
French Polynesia,258,Oceania,Polynesia,No,No,No,No
Gabon,266,Africa,Middle Africa,No,No,Yes,No
Gambia,270,Africa,Western Africa,No,Yes,Yes,Yes
Georgia,268,Asia,Western Asia,No,No,No,No
Germany,276,Europe,Western Europe,Yes,No,No,No
Ghana,288,Africa,Western Africa,No,No,Yes,Yes
Gibraltar,292,Europe,Southern Europe,Yes,No,No,No
Greece,300,Europe,Southern Europe,Yes,No,No,No
Greenland,304,Northern America,Northern America,Yes,No,No,No
Grenada,308,Latin America and the Caribbean,Caribbean,No,No,No,No
Guadeloupe,312,Latin America and the Caribbean,Caribbean,No,No,No,No
Guam,316,Oceania,Micronesia,No,No,No,No
Guatemala,320,Latin America and the Caribbean,Central America,No,No,No,No
Guinea,324,Africa,Western Africa,No,Yes,Yes,Yes
Guinea-Bissau,624,Africa,Western Africa,No,Yes,Yes,Yes
Guyana,328,Latin America and the Caribbean,South America,No,No,No,No
